UPE | 
07/27/2025 02:23:08 PM
,Intel® Core™ 3 Processor 201E (12M Cache- up to 4.80 GHz)

Essentials
Product Collection,Intel® Core™ processors (Series 2)
Code Name,Products formerly Bartlett Lake
Vertical Segment,Embedded
Processor Number,201E
Recommended Customer Price,$134.00

CPU Specifications
Total Cores,4
# of Performance-cores,4
# of Efficient-cores,0
Total Threads,8
Max Turbo Frequency,4.8 GHz
Intel® Thermal Velocity Boost Frequency,4.8 GHz
Performance-core Max Turbo Frequency,4.8 GHz
All Core Turbo Frequency,4.7 GHz
Performance-core Base Frequency,3.6 GHz
Cache,12 MB
Bus Speed,0.000 GT/s
TDP,60 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'25
Embedded Options Available,Yes
Use Conditions,PC/Client/Tablet
Product Tuning (Embedded Uses),Yes

Memory Specifications
Max Memory Size (dependent on memory type),192 GB
Memory Types,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,Yes

GPU Specifications
GPU Name‡,Intel® UHD Graphics 770
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,1.55 GHz
Graphics Output,eDP 1.4b |   DP 1.4a |   HDMI 2.1
Execution Units,24
Max Resolution (HDMI)‡,4096 x 2160 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,5120 x 3200 @ 120Hz
DirectX* Support,12
OpenGL* Support,4.5
OpenCL* Support,3
Multi-Format Codec Engines,1
Intel® Quick Sync Video,Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,4
Device ID,0x4692

Expansion Options
Direct Media Interface (DMI) Revision,4
Max # of DMI Lanes,8
Scalability,1S Only
PCI Express Revision,5.0 and 4.0
PCI Express Configurations ‡,Up to 1x16+4 |   2x8+4
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCLGA1700
Max CPU Configuration,1
Package Size,45.0 mm x 37.5 mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Shift Technology,Yes
Intel® Adaptive Boost Technology,No
Intel® Thermal Velocity Boost,No
Intel® Turbo Boost Max Technology 3.0 ‡,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® Threat Detection Technology (TDT),Yes
Intel® Active Management Technology (AMT) ‡,Yes
Intel® Standard Manageability (ISM) ‡,Yes
Intel® Remote Platform Erase (RPE) ‡,Yes
Intel® One-Click Recovery ‡,Yes
Intel® Hardware Shield Eligibility ‡,Yes
Intel® Secure Key,Yes
Intel® Control-Flow Enforcement Technology,Yes
Intel® Total Memory Encryption - Multi Key,Yes
Intel® AES New Instructions,Yes
Intel® Secure Key,Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
